right_arm,left_arm,left_leg,right_leg,left_fore_arm,right_fore_arm,waist
85.4,51.23,150.59,166.0,71.41,133.57,154.01
82.85,44.81,135.24,149.34,80.84,132.69,157.64499999999998
85.41,44.85,140.1,156.24,76.09,136.92,156.64499999999998
83.74,44.41,148.96,165.22,77.62,132.8,154.98000000000002
84.31,25.09,126.55,137.87,92.87,139.22,156.41500000000002
82.19,26.74,119.29,130.17,90.65,138.22,153.05
82.58,38.69,124.97,137.53,85.43,136.92,154.60500000000002
84.04,37.32,125.02,136.39,87.61,134.55,152.915
87.8,34.99,146.47,158.27,78.81,136.16,156.9
85.49,37.92,140.02,155.95,82.26,137.27,157.85000000000002
84.34,47.09,156.59,164.23,74.47,135.36,151.275
83.78,37.35,156.62,171.8,78.67,138.16,154.13
91.02,31.51,155.95,163.42,81.88,140.67,156.18
92.98,19.47,141.37,153.56,85.94,139.69,157.09
90.01,21.19,150.67,162.22,82.12,139.82,159.35000000000002
83.51,35.77,164.16,172.81,75.36,137.16,150.13
81.72,34.41,153.85,167.53,78.74,134.58,158.395
85.35,34.42,160.15,168.8,78.25,135.49,156.66
84.2,34.07,155.65,167.72,80.38,136.67,155.675
84.44,37.28,154.49,165.66,77.85,132.72,155.87
82.49,37.38,159.87,172.19,78.37,133.03,154.39999999999998
81.57,39.22,128.64,140.99,84.09,137.15,155.95
83.3,35.64,121.54,139.57,88.07,133.86,156.565
88.9,18.1,131.18,145.52,96.73,134.47,161.975
78.05,33.51,147.33,149.12,81.6,128.22,157.22
81.42,35.38,138.4,147.53,82.98,130.83,157.72500000000002
85.68,25.58,125.6,137.92,87.12,133.02,155.425
82.91,35.29,145.96,157.58,83.56,138.19,158.07
84.82,29.06,149.67,158.17,77.31,130.12,158.155
80.51,38.13,160.55,169.94,77.56,136.91,151.815
95.14,3.95,138.16,142.34,97.48,135.93,155.91
94.39,20.89,129.1,133.11,86.69,137.86,149.555
92.32,17.06,125.81,136.73,90.04,136.1,151.61
93.14,22.23,144.46,153.4,80.26,139.06,156.19
83.2,31.64,153.02,160.82,79.4,138.27,157.16500000000002
84.22,30.15,140.7,159.62,85.52,139.57,160.415
82.72,33.54,139.38,155.43,85.27,137.76,157.165
94.95,26.22,134.11,147.89,86.51,144.01,161.115
93.62,25.9,129.58,146.71,88.93,144.2,161.94
