right_arm,left_arm,left_leg,right_leg,left_fore_arm,right_fore_arm,waist
119.81,27.67,95.74,89.42,95.6,150.03,91.935
110.09,21.23,96.96,87.62,91.38,147.52,90.975
118.79,21.02,113.47,100.92,93.05,145.35,112.23
115.74,14.47,107.38,100.57,94.67,147.88,109.805
114.17,25.76,83.5,85.52,97.66,149.18,89.81
117.72,27.94,95.81,89.24,97.98,147.36,103.42
115.23,17.02,109.12,102.36,84.93,143.45,103.21
133.66,16.72,139.17,147.15,95.56,147.73,146.195
98.7,16.39,82.51,93.72,87.71,144.85,101.73
107.85,25.6,80.92,87.98,95.78,145.76,96.16
115.4,31.65,91.77,98.31,95.95,149.79,109.025
114.24,10.03,78.4,88.05,87.5,144.13,81.6
124.46,15.35,128.52,122.29,100.2,143.91,126.97
110.25,10.01,107.17,91.67,99.41,143.28,110.13
97.62,12.2,76.9,90.5,94.59,145.29,92.765
104.11,16.31,82.2,78.95,92.25,147.56,93.87
97.59,19.93,77.08,93.91,95.43,143.45,96.395
97.14,16.18,85.41,94.39,86.98,143.87,102.19
97.01,21.91,79.64,85.41,88.99,148.06,95.135
104.99,11.17,86.62,85.54,86.11,144.52,93.915
109.82,13.85,75.75,86.44,85.49,146.88,93.075
93.58,21.74,97.21,96.54,95.22,141.28,112.84
84.46,24.15,99.98,91.56,102.34,141.73,120.43
114.22,15.72,127.32,114.93,94.12,142.09,122.94
116.31,10.24,76.27,83.8,86.35,149.97,73.59
116.57,11.19,89.4,91.3,93.48,147.76,84.065
123.31,16.58,67.42,90.17,89.08,146.81,63.295
112.55,21.43,122.74,125.14,100.95,144.2,138.86
116.14,8.78,95.6,108.51,93.79,145.92,105.39
114.29,16.98,94.75,91.61,87.41,148.87,104.97
116.14,25.23,80.54,80.56,90.27,142.01,78.965
116.51,27.41,113.08,130.92,112.87,139.96,122.295
123.9,23.34,105.9,124.39,100.98,142.77,116.665
97.82,10.88,100.56,108.33,103.71,139.6,128.01
115.38,15.4,131.11,141.55,92.22,141.49,157.335
122.84,18.1,87.21,126.09,81.44,141.03,118.54
116.18,65.34,122.69,129.8,139.91,148.31,161.3
103.43,75.31,109.77,151.89,142.95,142.76,167.555
105.1,58.41,132.92,155.16,124.52,142.34,166.65
119.43,97.96,141.67,141.18,139.24,139.85,166.13
115.29,87.12,139.28,140.21,145.78,136.55,160.525
114.42,84.66,139.96,132.41,146.75,137.92,157.685
120.32,85.52,136.6,129.71,146.61,135.15,156.3
115.2,70.11,119.45,116.15,145.43,139.57,149.85000000000002
120.09,83.2,113.11,108.7,145.75,136.88,141.64
122.5,92.3,76.11,74.0,142.66,140.41,102.93
129.43,108.49,84.69,86.03,142.37,141.91,100.975
117.69,86.2,126.64,120.56,143.13,138.27,151.64
113.19,81.13,128.8,119.84,144.53,135.41,152.10000000000002
117.23,74.38,148.47,137.79,140.44,136.78,152.405
114.22,84.48,145.09,134.25,134.83,132.87,158.065
107.93,70.34,142.6,132.66,138.49,132.46,154.405
108.7,71.96,105.79,128.31,137.01,135.57,152.68
113.47,81.44,94.28,116.3,137.67,136.67,135.7
109.52,74.33,99.46,110.01,141.83,137.56,139.49
114.83,82.56,100.9,91.31,139.4,135.07,122.445
119.56,91.88,78.54,80.89,141.33,134.89,99.155
127.43,111.96,73.98,74.49,141.57,138.13,84.11500000000001
112.85,88.11,104.37,99.1,136.04,129.23,118.21
119.27,96.84,71.29,70.28,141.86,134.62,88.05
118.57,94.92,61.51,66.35,143.17,132.53,82.655
115.99,84.62,104.77,90.13,138.02,128.73,121.785
117.32,89.43,74.02,73.77,138.36,131.12,94.59
118.01,85.43,66.94,74.49,133.7,130.24,93.83
114.37,81.63,96.09,97.15,141.98,128.94,123.845
104.76,58.76,145.78,131.25,134.32,119.7,148.56
123.17,91.36,105.69,127.68,132.7,127.92,135.455
115.09,72.52,148.38,137.03,134.05,125.49,151.5
118.63,82.92,145.65,141.9,139.98,127.82,157.88
112.27,70.54,123.21,134.67,133.64,123.65,160.81
108.01,67.93,126.27,140.31,134.01,120.81,161.29000000000002
100.93,58.48,129.04,126.93,139.13,125.32,152.655
112.06,76.11,60.0,149.73,141.82,131.9,141.79
109.87,75.91,72.98,126.27,135.0,121.48,142.86
114.5,81.97,82.55,159.17,135.95,126.83,154.15
124.51,80.61,58.15,145.59,129.47,136.45,130.29
121.06,90.18,122.78,151.65,138.38,139.3,169.47
115.89,80.1,126.43,161.47,137.43,138.38,169.81
122.26,85.61,71.32,157.36,138.39,140.2,143.91500000000002
117.67,83.3,126.9,157.93,138.46,137.86,172.265
115.78,87.14,150.56,149.42,136.58,139.52,163.635
123.08,96.13,139.3,144.1,136.63,137.46,166.87
113.23,70.51,137.33,153.66,139.17,135.88,161.78
108.69,70.65,140.89,155.04,137.73,134.63,158.85500000000002
108.7,68.23,123.89,153.52,137.24,134.69,164.74
114.15,74.58,134.51,153.79,136.55,133.21,165.99
116.75,83.97,143.91,149.8,141.02,136.87,160.615
116.73,79.93,159.6,146.06,131.18,133.99,157.04000000000002
115.21,74.8,154.23,146.19,130.38,135.34,156.725
110.25,67.94,148.32,147.72,132.91,134.11,157.1
109.9,63.13,128.66,152.19,137.82,136.27,163.37
116.99,71.66,133.02,144.04,130.52,134.72,163.20499999999998
112.18,66.45,138.37,153.5,127.9,129.57,165.41500000000002
112.08,64.06,147.6,152.68,128.35,129.03,158.47
115.14,82.1,137.7,149.89,139.92,139.55,167.655
112.61,76.77,154.66,145.49,131.76,136.18,158.6
114.77,79.6,136.68,136.83,133.49,139.49,162.175
112.74,70.34,136.22,151.0,140.0,140.27,164.745
118.85,83.44,131.64,144.37,139.64,142.96,168.495
109.25,70.16,151.21,148.04,140.62,139.35,154.95999999999998
113.28,74.93,144.27,152.1,139.73,140.4,159.88
109.89,65.1,122.26,148.52,138.35,139.65,167.085
108.11,58.68,123.62,155.56,135.32,138.46,163.655
107.71,72.41,153.92,157.31,138.14,136.54,156.345
107.45,66.04,148.57,159.46,137.85,135.59,157.575
111.9,64.54,153.95,151.06,132.43,138.76,154.62
106.87,63.64,130.47,145.37,139.28,142.67,161.555
113.76,67.61,133.95,149.27,133.46,141.39,164.67000000000002
109.29,70.66,156.72,153.32,137.51,138.61,157.44
108.74,69.01,148.0,150.42,137.89,137.08,159.56
110.48,68.85,111.52,149.78,134.9,137.23,166.73
114.1,78.25,128.43,140.27,139.87,141.4,167.83999999999995
112.96,65.66,107.29,146.27,134.73,138.83,165.60500000000002
112.11,63.96,126.61,149.55,136.71,138.6,164.345
108.29,67.25,133.78,152.86,139.12,137.5,165.875
104.68,64.05,153.35,157.5,140.11,135.08,154.64
116.16,82.67,151.8,157.47,141.38,140.65,162.635
113.61,77.24,155.92,154.33,141.4,139.18,157.515
112.36,76.38,159.29,156.66,137.46,138.25,157.915
112.37,79.81,150.03,157.5,136.35,139.03,165.32
106.8,70.75,160.62,159.29,140.7,136.32,154.725
105.55,64.81,127.9,152.07,138.83,138.56,167.67000000000002
100.66,58.83,149.11,153.74,133.92,135.3,156.885
105.56,60.11,148.58,146.67,134.31,134.42,153.925
101.24,54.4,138.64,151.4,133.51,134.89,157.435
101.01,56.49,149.41,151.5,129.67,134.19,157.085
98.02,54.21,142.88,152.63,133.14,135.59,154.53
97.6,53.93,141.68,146.84,136.46,135.8,157.18
97.72,51.94,118.75,129.7,137.63,140.25,160.955
95.71,51.22,143.73,139.97,134.51,136.75,155.265
97.18,52.89,142.41,142.9,134.22,138.5,154.24
96.22,48.0,132.72,141.82,133.22,135.64,157.27
96.05,49.94,136.77,145.64,132.34,135.13,158.33499999999998
97.5,56.04,123.76,144.38,136.43,137.65,166.18
99.02,57.88,153.32,143.55,135.69,136.52,154.015
97.19,57.57,155.44,142.34,137.68,135.49,151.48000000000002
100.71,60.21,151.71,139.68,136.65,137.08,153.51
99.06,61.73,153.17,139.01,136.38,136.45,153.665
101.08,62.5,149.5,143.63,135.28,136.74,156.505
103.92,66.34,148.32,139.28,136.63,139.29,155.655
102.2,62.73,143.23,142.3,134.38,136.44,159.755
101.33,64.14,151.11,141.06,134.61,135.75,155.75
94.02,52.35,131.22,141.03,134.79,134.4,163.365
97.44,58.45,153.43,137.28,134.0,134.48,149.735
93.69,55.3,155.31,144.3,133.0,131.8,152.89499999999998
96.38,61.31,147.85,134.42,135.37,134.1,155.49
101.54,61.02,151.87,140.19,134.5,134.88,151.925
105.05,68.73,152.76,148.18,133.68,139.69,157.11
101.06,60.41,146.15,143.56,135.04,137.69,154.41500000000002
104.22,66.35,155.63,148.63,134.17,137.3,156.03
105.78,66.11,144.61,133.4,136.58,135.91,153.45999999999998
106.12,70.16,148.44,134.15,137.38,137.55,154.78
106.81,69.13,134.4,125.26,137.73,136.61,156.24
107.28,72.36,141.54,139.12,142.59,139.66,158.815
107.56,73.51,123.25,144.64,136.75,140.55,168.9
109.75,76.92,138.11,146.07,138.3,138.57,165.33999999999995
111.39,82.07,146.98,140.29,139.22,140.66,159.915
109.48,75.76,142.4,137.71,140.56,141.03,158.345
101.23,66.63,147.75,146.94,137.13,139.4,156.525
111.27,80.26,140.07,146.8,132.41,139.39,165.98000000000002
103.75,65.15,144.07,131.81,137.58,141.77,151.66500000000002
98.88,61.63,149.1,141.02,127.37,135.78,154.465
106.35,75.65,149.62,146.47,138.08,135.82,156.8
110.57,84.25,154.77,153.19,134.37,137.89,161.385
110.76,83.73,146.64,145.37,137.74,137.65,161.53
104.64,69.58,146.51,154.42,135.37,136.65,160.26
110.6,77.3,143.85,154.96,134.69,138.11,165.92000000000002
117.44,99.18,152.4,145.57,143.21,141.36,164.235
113.92,79.45,148.06,157.01,140.51,144.16,163.13
113.33,93.22,132.26,134.58,143.24,145.19,167.195
114.46,95.46,132.87,131.79,142.9,144.56,161.155
114.28,96.75,136.68,128.78,146.05,144.68,162.23
116.5,87.78,145.28,143.18,143.49,145.94,162.07
