right_arm,left_arm,left_leg,right_leg,left_fore_arm,right_fore_arm,waist
93.79,66.18,125.84,106.47,117.52,127.44,141.63
91.72,58.89,132.25,117.11,112.77,128.5,155.05
99.66,74.22,140.51,124.87,117.83,129.96,156.0
105.73,89.02,137.14,128.18,126.22,131.78,154.95
114.26,91.65,142.37,138.56,121.31,132.04,154.34
115.44,56.31,140.37,135.17,95.3,130.67,148.6
108.87,60.78,131.13,125.25,100.39,132.75,143.36
102.79,60.59,126.31,100.34,109.54,137.47,129.045
98.37,74.17,115.75,99.18,115.82,141.67,127.005
79.65,56.64,116.48,98.09,105.6,129.58,126.165
64.19,52.13,115.02,98.41,104.42,121.24,129.75
62.33,55.41,139.65,127.43,103.65,119.54,135.195
47.6,44.36,118.94,101.71,111.37,122.67,117.485
26.98,15.75,130.97,110.02,125.56,134.97,136.44
29.08,16.01,104.7,135.45,131.09,141.63,128.35
26.94,15.18,95.08,92.73,135.71,145.09,99.965
32.38,17.61,95.93,86.13,128.26,141.85,95.97
39.27,22.32,134.96,120.09,124.19,135.86,133.04
49.33,28.04,146.38,129.16,121.76,143.23,143.955
49.56,29.74,144.65,134.59,117.34,147.24,145.275
47.64,28.27,142.9,134.99,126.16,139.76,142.4
54.62,33.96,142.08,128.9,126.7,144.68,137.245
46.97,22.05,152.13,135.81,120.81,139.05,146.16
56.08,35.58,134.58,115.9,120.51,144.58,128.585
50.21,29.14,144.34,125.71,125.4,141.66,137.995
58.69,37.85,135.13,113.91,126.71,141.16,126.42
47.08,24.83,148.67,132.91,126.19,140.02,142.49
52.41,32.28,144.22,128.91,122.91,142.75,137.13
55.96,34.21,130.67,112.6,122.25,145.06,122.78
61.53,35.86,124.58,107.03,122.63,149.34,116.365
61.21,40.88,97.14,81.07,124.03,151.33,89.49000000000001
58.34,42.41,123.98,105.16,124.72,147.3,115.625
54.02,41.19,121.64,104.91,124.1,148.86,113.595
57.22,39.72,129.66,111.98,122.22,149.95,122.585
53.9,37.56,124.31,102.1,121.69,146.4,116.05
56.1,36.25,106.09,84.44,122.56,154.11,98.325
48.78,30.24,143.99,132.27,116.12,146.57,141.945
45.75,33.64,137.51,121.47,120.67,139.15,133.34
56.05,37.2,148.07,138.31,115.05,138.25,144.39499999999998
45.45,26.88,149.47,140.51,115.54,134.12,147.685
45.48,24.27,152.14,142.97,114.99,133.39,150.3
43.19,22.94,151.5,143.87,112.85,134.6,150.66
48.76,28.46,148.55,139.74,115.32,143.59,144.705
50.4,26.84,150.6,143.66,113.44,142.33,147.775
