right_arm,left_arm,left_leg,right_leg,left_fore_arm,right_fore_arm,waist
37.9,96.15,150.19,156.91,129.86,172.52,161.03500000000005
34.0,101.53,154.68,164.64,134.03,172.3,161.07999999999998
35.93,96.43,155.35,165.85,135.99,171.71,160.67000000000002
38.11,96.3,150.32,165.24,134.43,170.07,162.45499999999998
36.27,97.4,149.08,164.75,134.04,169.91,161.93
38.97,97.47,151.99,164.19,136.77,171.18,162.765
37.05,99.33,147.0,161.73,135.81,170.4,163.075
35.28,96.72,149.67,165.13,129.5,172.2,160.87
33.22,97.07,149.39,168.13,132.03,171.98,161.83499999999998
33.5,99.51,151.29,164.34,133.93,171.55,161.06
34.95,97.64,150.49,163.5,133.17,172.63,159.12
34.92,96.59,155.48,163.5,130.94,173.15,160.85500000000002
36.65,100.1,155.43,166.55,133.3,173.11,160.66000000000005
36.19,98.46,158.43,166.93,132.42,173.11,160.055
34.62,98.66,156.1,167.57,132.55,173.79,161.305
35.22,99.49,156.31,168.54,131.38,173.48,159.865
30.77,98.76,158.08,170.33,131.81,174.38,160.95499999999998
31.83,98.7,159.53,169.28,130.55,174.2,160.085
33.52,99.97,157.67,169.3,130.9,172.82,160.05
33.87,97.7,157.16,163.7,131.1,173.02,160.13
34.12,99.85,157.26,162.94,132.98,172.62,160.255
28.44,98.72,148.52,162.92,131.65,175.42,161.315
31.39,99.82,151.11,163.86,129.85,173.09,159.5
31.29,98.74,146.76,166.56,131.25,174.76,160.93
31.69,100.0,156.08,169.61,130.21,173.9,160.64
31.12,101.21,147.18,164.4,131.77,174.02,159.945
34.62,98.94,156.18,168.51,131.69,170.14,160.845
39.75,96.45,152.93,160.28,130.77,169.25,160.275
39.22,95.32,151.16,164.36,130.24,170.75,161.245
37.44,98.24,154.57,167.98,131.43,170.81,160.345
40.75,96.26,146.76,162.55,134.32,164.87,162.495
46.86,99.79,149.81,154.87,136.73,172.12,162.575
49.42,98.7,150.79,154.94,135.89,169.94,162.17000000000002
